region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
131,710.8578864633373,2014.0,357,8,2,8.0,7622,201.97658475285644,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,564.9208512860552,2010.0,1371,135,2,8.0,7622,219.70151961696075,8589,1764,2541,6564,1096,711,4238,32.59,-85.48
131,781.8212349893031,2020.0,1371,20,2,8.0,7622,128.56872211955056,8589,1764,2541,6564,1096,869,4238,32.59,-85.48
131,678.4563358306201,2017.0,696,9,2,8.0,7622,175.6730476701184,8589,1764,2541,6564,1096,869,4238,32.59,-85.48
131,445.5686540709756,2013.0,1605,7,0,6.0,7622,278.7438664593237,8589,6686,1120,1262,764,1336,4238,32.592,-85.5189
131,639.6060539101314,2012.0,357,7,2,8.0,7622,216.49042653475138,8589,1764,3088,6564,1096,1336,4238,32.59,-85.48
131,723.036021058484,2016.0,1371,25,2,6.0,7622,153.39691475484375,8589,1764,3088,6564,1096,1115,4238,32.59,-85.48
131,727.9859847407268,2019.0,696,48,0,6.0,7622,178.89703028344977,8589,6686,3088,6564,764,557,4238,32.6013,-85.443974
131,665.6903304836409,2016.0,1371,16,2,6.0,7622,123.30312968837909,8589,1764,3088,6564,1096,869,4238,32.59,-85.48
131,770.3271701526049,2011.0,1371,13,2,8.0,7622,154.9532234700616,8589,1764,1120,6564,498,869,4238,32.59,-85.48
131,221.40310048142786,1992.0,484,35,0,6.0,7622,328.5370697707376,8589,6686,3088,6564,1593,1700,4238,32.6454,-85.3783
131,703.4774482922774,2017.0,484,15,2,6.0,7622,154.5421304291481,8589,1764,3088,6564,498,1115,4238,32.59,-85.48
131,593.3795845835343,2017.0,1371,18,2,6.0,7622,175.0793876237633,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,678.4563358306201,2016.0,1371,3,2,6.0,663,164.37489387915386,8589,1764,3088,6564,1096,711,4238,32.59,-85.48
131,639.6060539101314,2014.0,696,19,2,6.0,663,124.76072783516025,8589,1764,2541,6564,1096,869,4238,32.59,-85.48
131,763.3703075733881,2016.0,1371,13,2,8.0,7622,97.20995459405579,8589,1764,1120,6564,306,869,4238,32.59,-85.48
131,710.8578864633373,2014.0,696,9,2,6.0,663,198.13093501866123,8589,1764,2541,6564,1096,869,4238,32.59,-85.48
131,678.4563358306201,2019.0,1605,9,2,6.0,663,48.54659787945699,8589,1764,2541,6564,1096,1336,4238,32.59,-85.48
131,639.6060539101314,2018.0,421,10,2,6.0,7622,168.87679869155312,8589,1764,3088,6564,1096,1115,4238,32.59,-85.48
131,723.036021058484,2018.0,1605,15,2,6.0,7622,133.1146232162535,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
